code_division,label_division,code_major_group,label_major_group,code_group,label_group,code_detail,label_detail,description_detail,example,unsuitable_example
A,農業，林業,01,農業,010,管理，補助的経済活動を行う事業所（01農業）,0100,主として管理事務を行う本社等,主として農業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，企画，広報・宣伝，生産・プロジェクト管理，支社・支店等の管理，出荷・販売等の現業以外の業務を行う事業所をいう。,['管理事務を行う本社・本所・本店・支社・支所'],
A,農業，林業,01,農業,010,管理，補助的経済活動を行う事業所（01農業）,0109,その他の管理，補助的経済活動を行う事業所,主として農業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。,"['自家用車庫', '自家用修理工場', '自家用補修所', '自家用集荷所']",
A,農業，林業,01,農業,011,耕種農業,0111,米作農業,主として米（水稲，陸稲）を栽培し，出荷する事業所をいう。,"['水稲作農業', '陸稲作農業']",
A,農業，林業,01,農業,011,耕種農業,0112,米作以外の穀作農業,主として米以外の穀物を栽培し，出荷する事業所をいう。穀物とは，米（水稲，陸稲），麦類，雑穀（あわ，ひえ，きび，そば，とうもろこし，もろこし），豆類（大豆，そらまめ，いんげんまめ，小豆，ささげ，らっかせい，えんどう，りょくとう）などの乾燥子実をいう。,"['麦作農業', '雑穀作農業']",
A,農業，林業,01,農業,011,耕種農業,0113,野菜作農業（きのこ類の栽培を含む）,主として野菜を栽培し，出荷する事業所をいう。野菜とは，果菜類（えだまめ，さやえんどう，とうもろこし等の未成熟子実を含む），葉茎菜類（はくさい，キャベツ，ねぎ等），根菜類（だいこん，にんじん，さといも等）及び栽培されたきのこ類をいう。,"['野菜作農業', 'すいか・メロン・トマト作農業', '水耕等の養液栽培による野菜作農業', 'たけのこ栽培農業', 'しいたけ栽培農業', 'しめじ栽培農業', 'もやし栽培農業']","['ばれいしょ作農業［0117］', 'さとうきび作農業［0116］', 'かんしょ作農業［0117］']"
A,農業，林業,01,農業,011,耕種農業,0114,果樹作農業,主として果樹を栽培し，出荷する事業所をいう。果樹とは，みかん，りんご，ぶどう，かき，なし，もも，くり，くるみなどの木本性植物をいう。,"['みかん作農業', 'りんご作農業', 'ぶどう作農業', 'かき作農業', 'くり作農業']","['すいか作農業［0113］', 'メロン作農業［0113］', 'トマト作農業［0113］']"
A,農業，林業,01,農業,011,耕種農業,0115,花き作農業,主として花きを栽培し，出荷する事業所をいう。花きとは，切り花，切り葉，切り枝，球根，鉢物，花き苗，芝，植木など美観の創出ないし維持又は緑化などに供する目的で栽培されている植物をいう。,"['切り花類栽培業', '球根類栽培業', '鉢物類栽培業', '芝類栽培業', '植木（緑化木，庭公園樹等）栽培業', '盆栽業']",
A,農業，林業,01,農業,011,耕種農業,0116,工芸農作物農業,主として工芸農作物を栽培し，出荷する事業所をいう。工芸農作物とは，なたね，葉たばこ，生茶，さとうきび，てんさい，こんにゃくいも，い，こうぞ，みつまた，ホップ，薬用にんじん，ハーブなど，油脂，甘味料，繊維，薬などの原料に供する目的で栽培されている植物をいう。,"['たばこ作農業', 'さとうきび作農業', '茶作農業', 'てんさい作農業']",
A,農業，林業,01,農業,011,耕種農業,0117,ばれいしょ・かんしょ作農業,主としてばれいしょ又はかんしょを栽培し，出荷する事業所をいう。,"['ばれいしょ作農業', 'かんしょ作農業']",
A,農業，林業,01,農業,011,耕種農業,0119,その他の耕種農業,主として飼肥料作物，採種用作物など他に分類されない作物を栽培し，出荷する事業所をいう。飼肥料作物とは，飼料や肥料とする目的で栽培されている牧草等をいい，採種用作物とは，種苗（林業用の種苗を除く）を得る目的で栽培されている植物をいう。,"['飼肥料作物栽培業', '採種用作物栽培業', '果樹苗木栽培業', '桑苗栽培業']",
A,農業，林業,01,農業,012,畜産農業,0121,酪農業,主として生乳を生産し，出荷する事業所をいう。,['酪農業'],
A,農業，林業,01,農業,012,畜産農業,0122,肉用牛生産業,主として肉用牛を飼養する事業所をいう。肉用牛とは，肉用を主目的に飼養している牛をいう。この場合，牛の品種は肉専用種に限らず肉用目的に飼養している乳用種を含む。,"['肉用牛肥育業', '肉用子牛生産業']",
A,農業，林業,01,農業,012,畜産農業,0123,養豚業,主として豚を飼養する事業所をいう。,['養豚業'],
A,農業，林業,01,農業,012,畜産農業,0124,養鶏業,主として鶏卵の生産及び食鶏の飼養を行う事業所をいう。,['養鶏業'],
A,農業，林業,01,農業,012,畜産農業,0125,畜産類似業,主として実験用・愛がん用動物の飼育，農作物・森林の保護及び種族保護を目的とする動物の飼育を行う事業所をいう。かぶと虫，すず虫などの昆虫類（みつばち，蚕を除く）の飼育及びへびなどの飼育を行う事業所も本分類に含まれる。,"['実験用動物飼育業（マウス，ラット，モルモット，うさぎなど）', '愛がん用動物飼育業（カナリア，文鳥，犬など）', 'いたち飼育業', 'きじ飼育業', '昆虫類飼育業（かぶと虫，すず虫など）', 'へび飼育業']","['うさぎ養殖業（実験用，愛がん用を除く）［0129］', '毛皮獣養殖業［0129］', 'へび採捕業［0299］', '昆虫類採捕業［0299］', '養ほう（蜂）業［0129］', '養蚕農業［0126］']"
A,農業，林業,01,農業,012,畜産農業,0126,養蚕農業,主として蚕の飼育及び蚕種の製造を行う事業所をいう。,"['養蚕農業', '蚕種製造業']",
A,農業，林業,01,農業,012,畜産農業,0129,その他の畜産農業,主としてその他の畜産物を飼育する事業所をいう。その他の畜産物とは，馬，めん羊，やぎ，うさぎ（実験用，愛がん用を除く），鶏以外の家きん（うずら，あひる，七面鳥など），毛皮獣などをいう。,"['養ほう（蜂）業', '毛皮獣養殖業（たぬき，きつね，ミンクなど）']","['酪農業［0121］', '肉用牛生産業［0122］', '養豚業［0123］', '養鶏業［0124］', '養蚕農業［0126］']"
A,農業，林業,01,農業,013,農業サービス業（園芸サービス業を除く）,0131,穀作サービス業,穀作農業に係る育苗，耕起，植付，防除，刈取，脱穀，調製など，栽培から出荷までのいずれか１種類以上の作業を請負で行う事業所をいう。,"['育苗センター', '各種米作作業請負業', 'ライスセンター', 'カントリーエレベーター', '脱穀業（農家と請負契約によって脱穀を行うもの）', '農業用施設維持管理業', '土地改良区']","['精米業（農家の家庭消費用として精米を行うもの）［7991］', '農業協同組合（信用事業又は共済事業と併せて，他の大分類にわたる事業を行っているもの）［8711］']"
A,農業，林業,01,農業,013,農業サービス業（園芸サービス業を除く）,0132,野菜作･果樹作サービス業,野菜作及び果樹作の栽培から出荷までのいずれか１種類以上の作業を請負で行う事業所をいう。,"['共同選果場', '野菜共同選別場']",
A,農業，林業,01,農業,013,農業サービス業（園芸サービス業を除く）,0133,穀作，野菜作･果樹作以外の耕種サービス業,穀作，野菜作，果樹作以外の作物の栽培から出荷までのいずれか１種類以上の作業を請負で行う事業所をいう。,"['さとうきび作作業請負業', '花き共同選別場']",
A,農業，林業,01,農業,013,農業サービス業（園芸サービス業を除く）,0134,畜産サービス業（獣医業を除く）,主として請負で種付け，人工授精又は受精卵移植，育成，種卵採取，ふ卵，育すう，家畜の貸付・飼養管理などを行う事業所及びこれらに必要な施設を供与する事業所をいう。稚蚕飼育など，生産から出荷までのいずれか１種類以上の作業を請負で行う事業所も本分類に含まれる。,"['人工授精業', '種鶏業', 'ふ卵業', '装てい（蹄）業', '稚蚕共同飼育場']",['獣医業［7411］']
A,農業，林業,01,農業,014,園芸サービス業,0141,園芸サービス業,主として請負で築庭，庭園樹の植樹，庭園・花壇の手入れなどを行う事業所をいう。ただし，公衆道路，運動場などの土木事業を伴う公園造成を主として請負う事業所は大分類Ｄ－建設業［0622］に分類される。,"['造園業', '植木業（主として庭園作り，又は手入れなどを行うもの）']",
A,農業，林業,02,林業,020,管理，補助的経済活動を行う事業所（02林業）,0200,主として管理事務を行う本社等,主として林業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，企画，広報・宣伝，生産・プロジェクト管理，支社・支店等の管理，出荷・販売等の現業以外の業務を行う事業所をいう。,['管理事務を行う本社・本所・本店・支社・支所'],
A,農業，林業,02,林業,020,管理，補助的経済活動を行う事業所（02林業）,0209,その他の管理，補助的経済活動を行う事業所,主として林業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。,"['自家用車庫', '自家用修理工場', '自家用補修所', '自家用集荷所']",
A,農業，林業,02,林業,021,育林業,0211,育林業,将来直接利用するために保育されている山林で，その山林に対し，林木の造林・保育・保護が主要作業である事業所をいう。,"['私有林経営業', '地方公共団体（財産区を含む）の経営する山林の事業所', '森林管理局', '森林管理署', '森林事務所', '生産森林組合等の育林を主とする協業体', '漆樹栽培業', '竹林業（たけのこ栽培を除く）', '薪炭林経営業', '桐栽培業', '油桐栽培業', 'パルプ材育林業']","['林野庁［9731］', '森林総合研究所［7113］', '大学演習林［816］', 'たけのこ栽培農業［0113］']"
A,農業，林業,02,林業,022,素材生産業,0221,素材生産業,立木を購入し，伐木して主として素材のまま販売する事業所をいう。,"['一般材生産業', 'パルプ材生産業', '坑木生産業', 'くい丸太生産業', '電柱用材生産業', '足場丸太生産業']","['貨物自動車運送業［441］', '製材業［1211］']"
